"iso2","year","legal_form","number_firms_orbis","number_firms_eurostat","number_balance_sheets","number_income_statements","bs_share","is_share"
"BA",2012,"Sole proprietorship",196,NA,6,6,0.0306122448979592,0.0306122448979592
"BA",2013,"Limited liability enterprise",20877,NA,27005,25756,1.29352876371126,1.23370216027207
"BA",2013,"Partnership, co-operatives, associations, etc.",267,NA,258,250,0.966292134831461,0.936329588014981
"BA",2013,"Sole proprietorship",200,NA,5,5,0.025,0.025
"BA",2014,"Limited liability enterprise",21621,NA,25987,25979,1.20193330558254,1.20156329494473
"BA",2014,"Partnership, co-operatives, associations, etc.",267,NA,249,249,0.932584269662921,0.932584269662921
"BA",2014,"Sole proprietorship",208,NA,3,3,0.0144230769230769,0.0144230769230769
"BA",2015,"Limited liability enterprise",24502,NA,27007,27001,1.10223655211819,1.10199167414905
"BA",2015,"Partnership, co-operatives, associations, etc.",292,NA,258,258,0.883561643835616,0.883561643835616
"BA",2015,"Sole proprietorship",211,NA,993,993,4.70616113744076,4.70616113744076
"BA",2016,"Limited liability enterprise",26389,NA,27713,27704,1.05017242032665,1.04983136913108
"BA",2016,"Partnership, co-operatives, associations, etc.",326,NA,261,261,0.800613496932515,0.800613496932515
"BA",2016,"Sole proprietorship",214,NA,867,867,4.05140186915888,4.05140186915888
"BA",2017,"Limited liability enterprise",28526,32422,26801,26788,0.939528850872888,0.939073126270771
"BA",2017,"Partnership, co-operatives, associations, etc.",366,924,265,265,0.724043715846995,0.724043715846995
"BA",2017,"Sole proprietorship",222,41588,65,65,0.292792792792793,0.292792792792793
"BA",2018,"Limited liability enterprise",30440,32533,24544,24532,0.806307490144547,0.805913272010512
"BA",2018,"Partnership, co-operatives, associations, etc.",368,937,190,190,0.516304347826087,0.516304347826087
"BA",2018,"Sole proprietorship",225,42418,851,851,3.78222222222222,3.78222222222222
"BA",2019,"Limited liability enterprise",32279,32079,25133,25121,0.778617677127544,0.778245918398959
"BA",2019,"Partnership, co-operatives, associations, etc.",363,914,182,182,0.50137741046832,0.50137741046832
"BA",2019,"Sole proprietorship",229,42021,872,872,3.80786026200873,3.80786026200873
"BA",2020,"Limited liability enterprise",32977,NA,27208,27194,0.825059890226521,0.824635351911939
"BA",2020,"Partnership, co-operatives, associations, etc.",371,NA,191,191,0.514824797843666,0.514824797843666
"BA",2020,"Sole proprietorship",231,NA,1146,1146,4.96103896103896,4.96103896103896
"BA",2021,"Limited liability enterprise",34246,NA,12557,12539,0.366670560065409,0.366144951235181
"BA",2021,"Partnership, co-operatives, associations, etc.",376,NA,103,103,0.273936170212766,0.273936170212766
"BA",2021,"Sole proprietorship",233,NA,1040,1040,4.46351931330472,4.46351931330472
