"iso2","year","number_firms"
"FI",2004,346198
"FI",2005,366828
"FI",2006,390212
"FI",2007,417294
"FI",2008,445305
"FI",2009,471319
"FI",2010,498766
"FI",2011,527731
"FI",2012,557119
"FI",2013,583005
"FI",2014,608529
"FI",2015,627573
"FI",2016,647584
"FI",2017,647246
"FI",2018,655910
"FI",2019,661101
"FI",2020,665195
"FI",2021,674604
"FI",2022,669116
"FJ",2000,26
"FJ",2001,26
"FJ",2002,26
"FJ",2003,26
"FJ",2004,28
"FJ",2005,29
"FJ",2006,30
"FJ",2007,30
"FJ",2008,30
"FJ",2009,30
"FJ",2010,30
"FJ",2011,29
"FJ",2012,29
"FJ",2013,29
"FJ",2014,29
"FJ",2015,29
"FJ",2016,29
"FJ",2017,29
"FJ",2018,29
"FJ",2019,29
"FJ",2020,29
"FJ",2021,29
"FJ",2022,29
"FM",2000,4
"FM",2001,4
"FM",2002,4
"FM",2003,4
"FM",2004,4
"FM",2005,4
"FM",2006,4
"FM",2007,4
"FM",2008,4
"FM",2009,6
"FM",2010,6
"FM",2011,6
"FM",2012,6
"FM",2013,6
"FM",2014,6
"FM",2015,6
"FM",2016,6
"FM",2017,6
"FM",2018,6
"FM",2019,6
"FM",2020,6
"FM",2021,6
"FM",2022,6
"FR",2000,477123
"FR",2001,516296
"FR",2002,558632
"FR",2003,608063
"FR",2004,669028
"FR",2005,737369
"FR",2006,811671
"FR",2007,897252
"FR",2008,984543
"FR",2009,1071990
"FR",2010,1172070
"FR",2011,1276621
"FR",2012,1374283
"FR",2013,1457887
"FR",2014,1505751
"FR",2015,1517551
"FR",2016,1535988
"FR",2017,1533933
"FR",2018,1523909
"FR",2019,1512883
"FR",2020,1446135
"FR",2021,1398375
"FR",2022,1344087
"GA",2000,134
"GA",2001,146
"GA",2002,161
"GA",2003,170
"GA",2004,177
"GA",2005,188
"GA",2006,198
"GA",2007,205
"GA",2008,214
"GA",2009,223
"GA",2010,232
"GA",2011,242
"GA",2012,255
"GA",2013,262
"GA",2014,269
"GA",2015,281
"GA",2016,289
"GA",2017,299
"GA",2018,306
"GA",2019,310
"GA",2020,311
"GA",2021,312
"GA",2022,312
"GB",2000,601040
"GB",2001,663574
"GB",2002,763296
"GB",2003,896294
"GB",2004,1003636
"GB",2005,1124359
"GB",2006,1268826
"GB",2007,1450309
"GB",2008,1616562
"GB",2009,1816074
"GB",2010,2130995
"GB",2011,2584152
"GB",2012,3081358
"GB",2013,3337972
"GB",2014,3588722
"GB",2015,3833987
"GB",2016,4121725
"GB",2017,4283263
"GB",2018,4495121
"GB",2019,4629499
"GB",2020,4857734
"GB",2021,5190274
"GB",2022,4871667
"GD",2000,5
"GD",2001,5
