iso2,year,gdp,population
PK,1964,5204955901,50552592
PA,1964,776137500,1271461
PE,1964,4356913870,11442301
PH,1964,5953766854,31916622
PW,1964,,10318
PG,1964,305312043.7,2175409
PL,1964,,31139450
KP,1964,,12787523
PT,1964,4235608178,9035365
PY,1964,,2090840
QA,1964,,57531
RO,1964,,18919126
RU,1964,,125345000
RW,1964,129999994,3263640
SA,1964,,4795130
SD,1964,1611333333,9406702
SN,1964,1188930568,3664599
SG,1964,894159153.3,1841600
SB,1964,,147609
SL,1964,371848114.8,2472686
SV,1964,,3095170
SM,1964,,16926
SO,1964,229529912.7,3183590
RS,1964,,6765000
SS,1964,,3088701
ST,1964,,70992
SR,1964,134400000,310288
SK,1964,,4327341
SI,1964,,1632114
SE,1964,22532416750,7661354
SZ,1964,64979280.41,378531
SC,1964,15393032.35,46322
SY,1964,1339494267,5202846
TD,1964,392247517.6,3273419
TG,1964,166104067.6,1772652
TH,1964,3889129942,30013573
TJ,1964,,2452671
TM,1964,,1836621
TL,1964,,499136
TO,1964,,75544
TT,1964,711893367.6,913399
TN,1964,,4389417
TR,1964,11177777778,30612821
TV,1964,,5525
TZ,1964,,11289556
UG,1964,589056603.8,8564755
UA,1964,,44941406
UY,1964,1975701816,2652376
US,1964,6.858E+11,191889000
UZ,1964,,9758147
VC,1964,14758210.35,90053
VE,1964,8099318182,9371333
VN,1964,,36509166
VU,1964,,72493
WS,1964,,126582
YE,1964,,5973803
ZA,1964,11955995223,18603097
ZM,1964,839428571.4,3542764
ZW,1964,1217138000,4310332
AF,1965,1006666638,9565147
AO,1965,,5736582
AL,1965,,1864791
AD,1965,,13563
AE,1965,,173797
AR,1965,28344705967,22053661
AM,1965,,2234051
AG,1965,,59644
AU,1965,25977153097,11388000
AT,1965,9994070616,7270889
AZ,1965,,4574650
BI,1965,158994963,3118134
BE,1965,17371457608,9463667
BJ,1965,289908720.7,2735843
BF,1965,422916848.4,5157929
BD,1965,5906636557,58500159
BG,1965,,8204168
BH,1965,,193012
BS,1965,300392156.9,144849
BA,1965,,3565517
BY,1965,,8610000
BZ,1965,40069930.07,104838
BO,1965,604377104.4,4115511
BR,1965,22465522884,84623747
BB,1965,,237694
BN,1965,114040245.7,107686
BT,1965,,255010
BW,1965,45790869.75,570975
CF,1965,150574816.3,1849171
CA,1965,54515179581,19678000
CH,1965,15346741670,5856472
CL,1965,6026593750,8994936
CN,1965,70436266147,715185000
CI,1965,919771356.4,4492890
CM,1965,814083378.5,5690086
CD,1965,4043901818,17438254
CG,1965,198318063.9,1207412
CO,1965,5760761905,18275814
KM,1965,,214939
CV,1965,,244156
CR,1965,592981162.3,1602736
CU,1965,,8067651
CY,1965,,617345
CZ,1965,,9779358
DE,1965,,75963695
DJ,1965,,108772
DM,1965,,63744
DK,1965,,4759012
DO,1965,888100000,3868712
DZ,1965,3136258897,12381256
EC,1965,2387048255,5337351
EG,1965,4948667540,30818469
ER,1965,,1121739
ES,1965,24756958695,31954292
EE,1965,,1294566
ET,1965,,24727506
FI,1965,8589340019,4563732
FJ,1965,147084750,469010
FR,1965,1.01537E+11,49282756
FM,1965,,50759
GA,1965,226474285.6,547535
GB,1965,1.01825E+11,54348050
GE,1965,,3921600
GH,1965,2053221289,7827726
GN,1965,,3845074
GM,1965,,458908
GW,1965,,577638
GQ,1965,64748333.33,295010
GR,1965,7689154053,8550333
GD,1965,,98226
GT,1965,1331399900,4774984
GY,1965,213235294.1,650207
HN,1965,508650000,2403465
HR,1965,,4280923
HT,1965,353251800,4274348
HU,1965,,10147935
ID,1965,,101157868
IN,1965,59554854576,500114346
IE,1965,2945704143,2877300
IR,1965,6197319929,24667026
IQ,1965,,8270544
IS,1965,523694949.4,192286
IL,1965,3663333333,2563000
IT,1965,67978153851,52112350
JM,1965,972140557.2,1746977
JO,1965,599831979.8,1093474
JP,1965,90950278258,97952000
KZ,1965,,10897644
KE,1965,997919320,9417207
KG,1965,,2573300
KH,1965,868571428.6,6170727
KI,1965,,53444
KN,1965,13593932.32,52016
KR,1965,3120833333,28704674
KW,1965,2097451694,513840
LA,1965,,2379456
LB,1965,,2087445
LR,1965,,1287315
LY,1965,,1700072
LC,1965,,97024
LI,1965,,18500
