iso2,year,legal_form,number_firms_orbis,number_firms_eurostat,number_balance_sheets,number_income_statements,bs_share,is_share
MK,2016,Sole proprietorship,202788,9066,41,38,0.000202182,0.000187388
MK,2017,Limited liability enterprise,64740,47690,57951,53506,0.895134384,0.826475131
MK,2017,"Partnership, co-operatives, associations, etc.",47,1409,20,20,0.425531915,0.425531915
MK,2017,Sole proprietorship,203314,9174,41,40,0.000201659,0.00019674
MK,2018,Limited liability enterprise,59749,48116,57408,53100,0.960819428,0.888717803
MK,2018,"Partnership, co-operatives, associations, etc.",45,1378,20,20,0.444444444,0.444444444
MK,2018,Sole proprietorship,202928,8724,38,37,0.000187259,0.000182331
MK,2019,Limited liability enterprise,57189,48711,58325,54000,1.01986396,0.944237528
MK,2019,"Partnership, co-operatives, associations, etc.",43,1368,20,20,0.465116279,0.465116279
MK,2019,Sole proprietorship,200634,8649,37,34,0.000184415,0.000169463
MK,2020,Limited liability enterprise,56001,48923,59407,54788,1.060820342,0.978339673
MK,2020,"Partnership, co-operatives, associations, etc.",43,1316,18,18,0.418604651,0.418604651
MK,2020,Sole proprietorship,199862,8454,34,31,0.000170117,0.000155107
MK,2021,Limited liability enterprise,53956,NA,55,55,0.001019349,0.001019349
MK,2021,"Partnership, co-operatives, associations, etc.",43,NA,0,0,0,0
MK,2021,Sole proprietorship,198948,NA,0,0,0,0
MK,2022,Limited liability enterprise,51487,NA,0,0,0,0
MK,2022,"Partnership, co-operatives, associations, etc.",43,NA,0,0,0,0
MK,2022,Sole proprietorship,198360,NA,0,0,0,0
MT,2010,Limited liability enterprise,32017,10375,13856,13856,0.432770091,0.432770091
MT,2010,"Partnership, co-operatives, associations, etc.",41,2300,2,2,0.048780488,0.048780488
MT,2010,Sole proprietorship,NA,20364,0,0,NA,NA
MT,2011,Limited liability enterprise,35285,10506,13772,13767,0.390307496,0.390165793
MT,2011,"Partnership, co-operatives, associations, etc.",41,2190,2,2,0.048780488,0.048780488
MT,2011,Sole proprietorship,NA,20128,0,0,NA,NA
MT,2012,Limited liability enterprise,39223,10811,14374,14357,0.366468654,0.366035234
MT,2012,"Partnership, co-operatives, associations, etc.",44,2107,2,2,0.045454545,0.045454545
MT,2012,Sole proprietorship,NA,18509,0,0,NA,NA
MT,2013,Limited liability enterprise,43468,10557,16704,16688,0.384282691,0.383914604
MT,2013,"Partnership, co-operatives, associations, etc.",44,2004,1,1,0.022727273,0.022727273
MT,2013,Sole proprietorship,NA,17933,0,0,NA,NA
MT,2014,Limited liability enterprise,47894,11307,18613,18612,0.388629056,0.388608176
MT,2014,"Partnership, co-operatives, associations, etc.",44,2009,0,0,0,0
MT,2014,Sole proprietorship,NA,18525,0,0,NA,NA
MT,2015,Limited liability enterprise,52385,12087,19544,19543,0.373083898,0.373064809
MT,2015,"Partnership, co-operatives, associations, etc.",47,1832,0,0,0,0
MT,2015,Sole proprietorship,NA,18224,0,0,NA,NA
MT,2016,Limited liability enterprise,56465,12953,20229,20229,0.358257328,0.358257328
MT,2016,"Partnership, co-operatives, associations, etc.",51,1980,1,1,0.019607843,0.019607843
MT,2016,Sole proprietorship,NA,21282,0,0,NA,NA
MT,2017,Limited liability enterprise,59754,13432,21892,21891,0.366368779,0.366352043
MT,2017,"Partnership, co-operatives, associations, etc.",51,2029,1,1,0.019607843,0.019607843
MT,2017,Sole proprietorship,NA,22392,0,0,NA,NA
MT,2018,Limited liability enterprise,63525,12945,21063,21062,0.331570248,0.331554506
MT,2018,"Partnership, co-operatives, associations, etc.",50,2008,2,2,0.04,0.04
MT,2018,Sole proprietorship,NA,26564,0,0,NA,NA
MT,2019,Limited liability enterprise,55774,12765,18722,18722,0.335676121,0.335676121
MT,2019,"Partnership, co-operatives, associations, etc.",50,1753,0,0,0,0
MT,2019,Sole proprietorship,NA,23923,0,0,NA,NA
MT,2020,Limited liability enterprise,57005,12994,6666,6666,0.116937111,0.116937111
MT,2020,"Partnership, co-operatives, associations, etc.",50,1745,1,1,0.02,0.02
MT,2020,Sole proprietorship,NA,24444,0,0,NA,NA
MT,2021,Limited liability enterprise,58898,NA,176,176,0.002988217,0.002988217
MT,2021,"Partnership, co-operatives, associations, etc.",50,NA,2,2,0.04,0.04
MT,2022,Limited liability enterprise,53582,NA,1,1,1.87E-05,1.87E-05
MT,2022,"Partnership, co-operatives, associations, etc.",50,NA,0,0,0,0
NL,2010,Limited liability enterprise,767239,248326,640262,37504,0.834501374,0.04888177
NL,2010,"Partnership, co-operatives, associations, etc.",271944,157782,3292,832,0.012105433,0.003059453
NL,2010,Sole proprietorship,956381,564350,12,1,1.25E-05,1.05E-06
