iso2,year,legal_form,number_firms_orbis,number_firms_eurostat,number_firms_worldbank,number_balance_sheets,number_income_statements,bs_share,is_share
PL,2014,partnerships,190333,49878,NA,22506,21622,0.118245391,0.113600899
PL,2014,private_limited_liability,273730,164195,NA,101372,95637,0.370335732,0.34938443
PL,2014,public_limited_liability,8892,NA,NA,4919,4875,0.553193882,0.548245614
PL,2014,sole_proprietorships,1390416,1811197,NA,675,676,0.000485466,0.000486185
PL,2015,partnerships,200671,52498,NA,23779,22794,0.118497441,0.113588909
PL,2015,private_limited_liability,311947,176573,NA,106022,99160,0.339871837,0.317874511
PL,2015,public_limited_liability,9374,NA,NA,4937,4891,0.526669511,0.521762321
PL,2015,sole_proprietorships,1589893,1830896,NA,922,918,0.000579913,0.000577397
PL,2016,partnerships,211679,52454,NA,23427,22561,0.110672292,0.106581191
PL,2016,private_limited_liability,352416,186763,NA,94198,89057,0.267292064,0.252704191
PL,2016,public_limited_liability,9787,NA,NA,4809,4768,0.491366098,0.487176867
PL,2016,sole_proprietorships,1776164,1776289,NA,706,704,0.000397486,0.00039636
PL,2017,partnerships,218433,52323,NA,39693,36856,0.181717048,0.168729084
PL,2017,private_limited_liability,387291,195813,NA,211004,183555,0.544820303,0.473945948
PL,2017,public_limited_liability,10028,NA,NA,6385,6206,0.636717192,0.618867172
PL,2017,sole_proprietorships,1819027,1835418,NA,734,732,0.000403512,0.000402413
PL,2018,partnerships,212394,58309,NA,40866,37814,0.192406565,0.178037044
PL,2018,private_limited_liability,399996,181644,NA,216176,188396,0.540445404,0.47099471
