regulation_ID	iso2	year	legal_form
EE_8	EE	2011	Sole proprietorship
EE_8	EE	2012	Sole proprietorship
EE_8	EE	2013	Sole proprietorship
EE_8	EE	2014	Sole proprietorship
EE_8	EE	2015	Sole proprietorship
EE_8	EE	2016	Sole proprietorship
EE_8	EE	2017	Sole proprietorship
EE_8	EE	2018	Sole proprietorship
EE_8	EE	2019	Sole proprietorship
EE_8	EE	2020	Sole proprietorship
EE_8	EE	2021	Sole proprietorship
EE_8	EE	2022	Sole proprietorship
FR_1	FR	2010	Limited liability enterprise
FR_1	FR	2011	Limited liability enterprise
FR_1	FR	2012	Limited liability enterprise
FR_1	FR	2013	Limited liability enterprise
FR_2	FR	2014	Limited liability enterprise
FR_2	FR	2015	Limited liability enterprise
FR_2	FR	2016	Limited liability enterprise
FR_2	FR	2017	Limited liability enterprise
FR_2	FR	2018	Limited liability enterprise
FR_2	FR	2019	Limited liability enterprise
FR_2	FR	2020	Limited liability enterprise
FR_2	FR	2021	Limited liability enterprise
FR_2	FR	2022	Limited liability enterprise
FR_3	FR	2010	"Partnership, co-operatives, associations, etc."
FR_3	FR	2011	"Partnership, co-operatives, associations, etc."
FR_3	FR	2012	"Partnership, co-operatives, associations, etc."
FR_3	FR	2013	"Partnership, co-operatives, associations, etc."
FR_4	FR	2014	"Partnership, co-operatives, associations, etc."
FR_4	FR	2015	"Partnership, co-operatives, associations, etc."
FR_4	FR	2016	"Partnership, co-operatives, associations, etc."
FR_4	FR	2017	"Partnership, co-operatives, associations, etc."
FR_4	FR	2018	"Partnership, co-operatives, associations, etc."
FR_4	FR	2019	"Partnership, co-operatives, associations, etc."
FR_4	FR	2020	"Partnership, co-operatives, associations, etc."
FR_4	FR	2021	"Partnership, co-operatives, associations, etc."
FR_4	FR	2022	"Partnership, co-operatives, associations, etc."
FR_5	FR	2010	Sole proprietorship
FR_5	FR	2011	Sole proprietorship
FR_5	FR	2012	Sole proprietorship
FR_5	FR	2013	Sole proprietorship
FR_5	FR	2014	Sole proprietorship
FR_5	FR	2015	Sole proprietorship
FR_5	FR	2016	Sole proprietorship
FR_5	FR	2017	Sole proprietorship
FR_5	FR	2018	Sole proprietorship
FR_5	FR	2019	Sole proprietorship
FR_5	FR	2020	Sole proprietorship
FR_5	FR	2021	Sole proprietorship
FR_5	FR	2022	Sole proprietorship
FR_6	FR	2011	Limited liability enterprise
FR_6	FR	2012	Limited liability enterprise
FR_6	FR	2013	Limited liability enterprise
FR_7	FR	2014	Limited liability enterprise
FR_7	FR	2015	Limited liability enterprise
FR_7	FR	2016	Limited liability enterprise
FR_7	FR	2017	Limited liability enterprise
FR_7	FR	2018	Limited liability enterprise
FR_7	FR	2019	Limited liability enterprise
FR_7	FR	2020	Limited liability enterprise
FR_7	FR	2021	Limited liability enterprise
FR_7	FR	2022	Limited liability enterprise
FR_8	FR	2010	"Partnership, co-operatives, associations, etc."
FR_8	FR	2011	"Partnership, co-operatives, associations, etc."
FR_8	FR	2012	"Partnership, co-operatives, associations, etc."
FR_8	FR	2013	"Partnership, co-operatives, associations, etc."
FR_9	FR	2014	"Partnership, co-operatives, associations, etc."
FR_9	FR	2015	"Partnership, co-operatives, associations, etc."
FR_9	FR	2016	"Partnership, co-operatives, associations, etc."
FR_9	FR	2017	"Partnership, co-operatives, associations, etc."
FR_9	FR	2018	"Partnership, co-operatives, associations, etc."
FR_9	FR	2019	"Partnership, co-operatives, associations, etc."
FR_9	FR	2020	"Partnership, co-operatives, associations, etc."
FR_9	FR	2021	"Partnership, co-operatives, associations, etc."
FR_9	FR	2022	"Partnership, co-operatives, associations, etc."
FR_10	FR	2010	Sole proprietorship
FR_10	FR	2011	Sole proprietorship
FR_10	FR	2012	Sole proprietorship
FR_10	FR	2013	Sole proprietorship
FR_10	FR	2014	Sole proprietorship
FR_10	FR	2015	Sole proprietorship
FR_10	FR	2016	Sole proprietorship
FR_10	FR	2017	Sole proprietorship
FR_10	FR	2018	Sole proprietorship
FR_10	FR	2019	Sole proprietorship
FR_10	FR	2020	Sole proprietorship
FR_10	FR	2021	Sole proprietorship
FR_10	FR	2022	Sole proprietorship
DE_1	DE	2010	Limited liability enterprise
DE_1	DE	2011	Limited liability enterprise
DE_1	DE	2012	Limited liability enterprise
DE_2	DE	2013	Limited liability enterprise
DE_2	DE	2014	Limited liability enterprise
DE_2	DE	2015	Limited liability enterprise
DE_2	DE	2016	Limited liability enterprise
DE_2	DE	2017	Limited liability enterprise
DE_2	DE	2018	Limited liability enterprise
DE_2	DE	2019	Limited liability enterprise
DE_2	DE	2020	Limited liability enterprise
DE_2	DE	2021	Limited liability enterprise
DE_2	DE	2022	Limited liability enterprise
DE_3	DE	2010	"Partnership, co-operatives, associations, etc."
DE_3	DE	2011	"Partnership, co-operatives, associations, etc."
DE_3	DE	2012	"Partnership, co-operatives, associations, etc."
DE_4	DE	2013	"Partnership, co-operatives, associations, etc."
DE_4	DE	2014	"Partnership, co-operatives, associations, etc."
DE_4	DE	2015	"Partnership, co-operatives, associations, etc."
DE_4	DE	2016	"Partnership, co-operatives, associations, etc."
DE_4	DE	2017	"Partnership, co-operatives, associations, etc."
DE_4	DE	2018	"Partnership, co-operatives, associations, etc."
DE_4	DE	2019	"Partnership, co-operatives, associations, etc."
DE_4	DE	2020	"Partnership, co-operatives, associations, etc."
DE_4	DE	2021	"Partnership, co-operatives, associations, etc."
DE_4	DE	2022	"Partnership, co-operatives, associations, etc."
DE_5	DE	2010	Sole proprietorship
DE_5	DE	2011	Sole proprietorship
DE_5	DE	2012	Sole proprietorship
DE_5	DE	2013	Sole proprietorship
DE_5	DE	2014	Sole proprietorship
DE_5	DE	2015	Sole proprietorship
DE_5	DE	2016	Sole proprietorship
DE_5	DE	2017	Sole proprietorship
DE_5	DE	2018	Sole proprietorship
DE_5	DE	2019	Sole proprietorship
DE_5	DE	2020	Sole proprietorship
DE_5	DE	2021	Sole proprietorship
DE_5	DE	2022	Sole proprietorship
DE_6	DE	2010	Limited liability enterprise
DE_6	DE	2011	Limited liability enterprise
DE_6	DE	2012	Limited liability enterprise
DE_6	DE	2013	Limited liability enterprise
DE_6	DE	2014	Limited liability enterprise
DE_6	DE	2015	Limited liability enterprise
DE_6	DE	2016	Limited liability enterprise
DE_6	DE	2017	Limited liability enterprise
DE_6	DE	2018	Limited liability enterprise
DE_6	DE	2019	Limited liability enterprise
DE_6	DE	2020	Limited liability enterprise
DE_6	DE	2021	Limited liability enterprise
DE_6	DE	2022	Limited liability enterprise
DE_7	DE	2010	"Partnership, co-operatives, associations, etc."
DE_7	DE	2011	"Partnership, co-operatives, associations, etc."
DE_7	DE	2012	"Partnership, co-operatives, associations, etc."
DE_7	DE	2013	"Partnership, co-operatives, associations, etc."
DE_7	DE	2014	"Partnership, co-operatives, associations, etc."
DE_7	DE	2015	"Partnership, co-operatives, associations, etc."
DE_7	DE	2016	"Partnership, co-operatives, associations, etc."
DE_7	DE	2017	"Partnership, co-operatives, associations, etc."
DE_7	DE	2018	"Partnership, co-operatives, associations, etc."
DE_7	DE	2019	"Partnership, co-operatives, associations, etc."
DE_7	DE	2020	"Partnership, co-operatives, associations, etc."
DE_7	DE	2021	"Partnership, co-operatives, associations, etc."
DE_7	DE	2022	"Partnership, co-operatives, associations, etc."
DE_8	DE	2010	Sole proprietorship
DE_8	DE	2011	Sole proprietorship
DE_8	DE	2012	Sole proprietorship
DE_8	DE	2013	Sole proprietorship
DE_8	DE	2014	Sole proprietorship
DE_8	DE	2015	Sole proprietorship
DE_8	DE	2016	Sole proprietorship
DE_8	DE	2017	Sole proprietorship
DE_8	DE	2018	Sole proprietorship
DE_8	DE	2019	Sole proprietorship
DE_8	DE	2020	Sole proprietorship
DE_8	DE	2021	Sole proprietorship
DE_8	DE	2022	Sole proprietorship
GR_1	GR	2010	Limited liability enterprise
GR_1	GR	2011	Limited liability enterprise
GR_1	GR	2012	Limited liability enterprise
GR_1	GR	2013	Limited liability enterprise
GR_1	GR	2014	Limited liability enterprise
GR_1	GR	2015	Limited liability enterprise
GR_1	GR	2016	Limited liability enterprise
GR_1	GR	2017	Limited liability enterprise
GR_1	GR	2018	Limited liability enterprise
GR_1	GR	2019	Limited liability enterprise
GR_1	GR	2020	Limited liability enterprise
GR_1	GR	2021	Limited liability enterprise
GR_1	GR	2022	Limited liability enterprise
GR_2	GR	2010	"Partnership, co-operatives, associations, etc."
GR_2	GR	2011	"Partnership, co-operatives, associations, etc."
GR_2	GR	2012	"Partnership, co-operatives, associations, etc."
GR_2	GR	2013	"Partnership, co-operatives, associations, etc."
GR_2	GR	2014	"Partnership, co-operatives, associations, etc."
GR_2	GR	2015	"Partnership, co-operatives, associations, etc."
GR_2	GR	2016	"Partnership, co-operatives, associations, etc."
GR_2	GR	2017	"Partnership, co-operatives, associations, etc."
GR_2	GR	2018	"Partnership, co-operatives, associations, etc."
GR_2	GR	2019	"Partnership, co-operatives, associations, etc."
GR_2	GR	2020	"Partnership, co-operatives, associations, etc."
GR_2	GR	2021	"Partnership, co-operatives, associations, etc."
GR_2	GR	2022	"Partnership, co-operatives, associations, etc."
GR_3	GR	2010	Sole proprietorship
GR_3	GR	2011	Sole proprietorship
