"iso2","year","legal_form","number_firms_orbis","number_firms_eurostat","number_balance_sheets","number_income_statements","bs_share","is_share"
"CH",2013,"Sole proprietorship",169797,170113,0,0,0,0
"CH",2014,"Limited liability enterprise",358925,200325,583,576,0.00162429476910218,0.00160479208748346
"CH",2014,"Partnership, co-operatives, associations, etc.",21493,15721,63,63,0.00293118689805983,0.00293118689805983
"CH",2014,"Sole proprietorship",170287,175016,0,0,0,0
"CH",2015,"Limited liability enterprise",371176,206329,592,583,0.00159493070672673,0.00157068344936095
"CH",2015,"Partnership, co-operatives, associations, etc.",21184,15176,63,63,0.00297394259818731,0.00297394259818731
"CH",2015,"Sole proprietorship",170119,173756,0,0,0,0
"CH",2016,"Limited liability enterprise",382646,210827,593,579,0.00154973526444808,0.001513147922623
"CH",2016,"Partnership, co-operatives, associations, etc.",20896,14631,64,59,0.00306278713629403,0.00282350689127106
"CH",2016,"Sole proprietorship",170117,170886,0,0,0,0
"CH",2017,"Limited liability enterprise",395179,216048,596,582,0.00150817730699253,0.00147275032327123
"CH",2017,"Partnership, co-operatives, associations, etc.",20727,14313,63,59,0.00303951367781155,0.00284652868239494
"CH",2017,"Sole proprietorship",171290,168195,0,0,0,0
"CH",2018,"Limited liability enterprise",406771,219244,610,596,0.00149961526264163,0.00146519786317117
"CH",2018,"Partnership, co-operatives, associations, etc.",20736,13751,64,61,0.00308641975308642,0.00294174382716049
"CH",2018,"Sole proprietorship",172342,164370,0,0,0,0
"CH",2019,"Limited liability enterprise",418879,224738,616,604,0.00147059174606509,0.00144194385490798
"CH",2019,"Partnership, co-operatives, associations, etc.",20767,13482,64,61,0.00308181249097125,0.00293735253045698
"CH",2019,"Sole proprietorship",173824,164211,0,0,0,0
"CH",2020,"Limited liability enterprise",432204,228995,595,580,0.00137666472314,0.00134195888978353
"CH",2020,"Partnership, co-operatives, associations, etc.",20825,12739,63,60,0.00302521008403361,0.00288115246098439
"CH",2020,"Sole proprietorship",174894,158755,0,0,0,0
"CH",2021,"Limited liability enterprise",448500,NA,293,288,0.000653288740245262,0.000642140468227425
"CH",2021,"Partnership, co-operatives, associations, etc.",21083,NA,10,9,0.00047431579945928,0.000426884219513352
"CH",2021,"Sole proprietorship",179113,NA,0,0,0,0
"CH",2022,"Limited liability enterprise",447725,NA,9,9,2.01016248813446e-05,2.01016248813446e-05
"CH",2022,"Partnership, co-operatives, associations, etc.",20401,NA,0,0,0,0
"CH",2022,"Sole proprietorship",173824,NA,0,0,0,0
"CY",2010,"Limited liability enterprise",166093,31514,767,767,0.00461789479388054,0.00461789479388054
"CY",2010,"Partnership, co-operatives, associations, etc.",5833,1544,4,4,0.00068575347162695,0.00068575347162695
"CY",2010,"Sole proprietorship",2,18406,0,0,0,0
"CY",2011,"Limited liability enterprise",182951,32095,781,781,0.00426890260233614,0.00426890260233614
"CY",2011,"Partnership, co-operatives, associations, etc.",5913,1404,4,4,0.000676475562320311,0.000676475562320311
"CY",2011,"Sole proprietorship",2,17515,0,0,0,0
"CY",2012,"Limited liability enterprise",198911,31831,2911,2911,0.0146346858645324,0.0146346858645324
"CY",2012,"Partnership, co-operatives, associations, etc.",6018,1520,2,2,0.000332336324360253,0.000332336324360253
"CY",2012,"Sole proprietorship",3,17776,0,0,0,0
"CY",2013,"Limited liability enterprise",208550,30462,4352,4352,0.0208678973867178,0.0208678973867178
"CY",2013,"Partnership, co-operatives, associations, etc.",6106,1480,2,2,0.000327546675401245,0.000327546675401245
"CY",2013,"Sole proprietorship",3,17503,0,0,0,0
"CY",2014,"Limited liability enterprise",217952,30362,4068,4068,0.0186646601086478,0.0186646601086478
"CY",2014,"Partnership, co-operatives, associations, etc.",6206,1131,0,0,0,0
"CY",2014,"Sole proprietorship",3,17741,0,0,0,0
