iso2,year,legal_form,number_firms_orbis,number_firms_eurostat,number_balance_sheets,number_income_statements,bs_share,is_share
BG,2022,Sole proprietorship,716348,NA,0,0,0,0
CH,2010,Limited liability enterprise,278850,NA,580,566,0.002079971,0.002029765
CH,2010,"Partnership, co-operatives, associations, etc.",19629,NA,54,55,0.002751032,0.002801977
CH,2010,Sole proprietorship,138130,NA,0,0,0,0
CH,2011,Limited liability enterprise,302129,NA,572,561,0.001893231,0.001856823
CH,2011,"Partnership, co-operatives, associations, etc.",20461,NA,56,56,0.002736914,0.002736914
CH,2011,Sole proprietorship,149157,NA,0,0,0,0
CH,2012,Limited liability enterprise,325560,NA,580,571,0.001781546,0.001753901
CH,2012,"Partnership, co-operatives, associations, etc.",21472,NA,58,58,0.002701192,0.002701192
CH,2012,Sole proprietorship,161539,NA,0,0,0,0
CH,2013,Limited liability enterprise,346391,195117,572,563,0.001651313,0.001625331
CH,2013,"Partnership, co-operatives, associations, etc.",21977,16123,58,58,0.002639123,0.002639123
CH,2013,Sole proprietorship,169797,170113,0,0,0,0
CH,2014,Limited liability enterprise,358925,200325,578,563,0.001610364,0.001568573
CH,2014,"Partnership, co-operatives, associations, etc.",21493,15721,63,63,0.002931187,0.002931187
CH,2014,Sole proprietorship,170287,175016,0,0,0,0
CH,2015,Limited liability enterprise,371176,206329,587,567,0.00158146,0.001527577
CH,2015,"Partnership, co-operatives, associations, etc.",21184,15176,63,62,0.002973943,0.002926737
CH,2015,Sole proprietorship,170119,173756,0,0,0,0
CH,2016,Limited liability enterprise,382646,210827,589,555,0.001539282,0.001450427
CH,2016,"Partnership, co-operatives, associations, etc.",20896,14631,64,59,0.003062787,0.002823507
CH,2016,Sole proprietorship,170117,170886,0,0,0,0
CH,2017,Limited liability enterprise,395179,216048,590,557,0.001492994,0.001409488
CH,2017,"Partnership, co-operatives, associations, etc.",20727,14313,63,59,0.003039514,0.002846529
CH,2017,Sole proprietorship,171290,168195,0,0,0,0
CH,2018,Limited liability enterprise,406771,219244,606,568,0.001489782,0.001396363
CH,2018,"Partnership, co-operatives, associations, etc.",20736,13751,64,61,0.00308642,0.002941744
CH,2018,Sole proprietorship,172342,164370,0,0,0,0
CH,2019,Limited liability enterprise,418879,224738,612,575,0.001461042,0.001372711
CH,2019,"Partnership, co-operatives, associations, etc.",20767,13482,64,61,0.003081812,0.002937353
CH,2019,Sole proprietorship,173824,164211,0,0,0,0
CH,2020,Limited liability enterprise,432204,228995,592,554,0.001369724,0.001281802
CH,2020,"Partnership, co-operatives, associations, etc.",20825,12739,63,60,0.00302521,0.002881152
CH,2020,Sole proprietorship,174894,158755,0,0,0,0
CH,2021,Limited liability enterprise,448500,NA,293,274,0.000653289,0.000610925
CH,2021,"Partnership, co-operatives, associations, etc.",21083,NA,10,9,0.000474316,0.000426884
CH,2021,Sole proprietorship,179113,NA,0,0,0,0
CH,2022,Limited liability enterprise,447725,NA,9,7,2.01E-05,1.56E-05
CH,2022,"Partnership, co-operatives, associations, etc.",20401,NA,0,0,0,0
CH,2022,Sole proprietorship,173824,NA,0,0,0,0
CY,2010,Limited liability enterprise,166093,31514,767,104,0.004617895,0.000626155
CY,2010,"Partnership, co-operatives, associations, etc.",5833,1544,4,0,0.000685753,0
CY,2010,Sole proprietorship,2,18406,0,0,0,0
CY,2011,Limited liability enterprise,182951,32095,781,95,0.004268903,0.000519265
CY,2011,"Partnership, co-operatives, associations, etc.",5913,1404,4,0,0.000676476,0
CY,2011,Sole proprietorship,2,17515,0,0,0,0
CY,2012,Limited liability enterprise,198911,31831,2911,90,0.014634686,0.000452464
CY,2012,"Partnership, co-operatives, associations, etc.",6018,1520,2,0,0.000332336,0
CY,2012,Sole proprietorship,3,17776,0,0,0,0
CY,2013,Limited liability enterprise,208550,30462,4352,89,0.020867897,0.000426756
CY,2013,"Partnership, co-operatives, associations, etc.",6106,1480,2,0,0.000327547,0
CY,2013,Sole proprietorship,3,17503,0,0,0,0
CY,2014,Limited liability enterprise,217952,30362,4067,85,0.018660072,0.000389994
CY,2014,"Partnership, co-operatives, associations, etc.",6206,1131,0,0,0,0
CY,2014,Sole proprietorship,3,17741,0,0,0,0
CY,2015,Limited liability enterprise,225224,30688,2830,83,0.012565268,0.000368522
CY,2015,"Partnership, co-operatives, associations, etc.",6324,1067,0,0,0,0
CY,2015,Sole proprietorship,3,18861,0,0,0,0
CY,2016,Limited liability enterprise,208206,31661,3821,88,0.018352017,0.000422658
CY,2016,"Partnership, co-operatives, associations, etc.",6417,1037,0,0,0,0
CY,2016,Sole proprietorship,3,19627,0,0,0,0
CY,2017,Limited liability enterprise,215912,33542,3632,80,0.016821668,0.000370521
CY,2017,"Partnership, co-operatives, associations, etc.",6500,1068,0,0,0,0
CY,2017,Sole proprietorship,3,20619,0,0,0,0
CY,2018,Limited liability enterprise,183767,32640,3004,79,0.016346787,0.000429892
CY,2018,"Partnership, co-operatives, associations, etc.",6599,877,0,0,0,0
CY,2018,Sole proprietorship,3,18632,0,0,0,0
CY,2019,Limited liability enterprise,190820,37822,1592,80,0.008342941,0.000419243
CY,2019,"Partnership, co-operatives, associations, etc.",6642,999,0,0,0,0
CY,2019,Sole proprietorship,3,22015,0,0,0,0
CY,2020,Limited liability enterprise,198136,38690,407,69,0.002054145,0.000348246
CY,2020,"Partnership, co-operatives, associations, etc.",6680,368,0,0,0,0
CY,2020,Sole proprietorship,3,23113,0,0,0,0
CY,2021,Limited liability enterprise,206567,NA,60,42,0.000290463,0.000203324
